user_loc,fr_loc,scaled_sci,region
BE,BZ,964,Europe
BE,CA,5968,Europe
BE,CD,19878,Europe
BE,CF,13196,Europe
BE,CG,11102,Europe
BE,CH,29544,Europe
BE,CI,6504,Europe
BE,CL,1465,Europe
BE,CM,22728,Europe
BE,CO,1174,Europe
BE,CR,1821,Europe
BE,CV,24337,Europe
BE,CW,25435,Europe
BE,CY,11521,Europe
BE,CZ,5086,Europe
BE,DE,13731,Europe
BE,DJ,26572,Europe
BE,DK,9253,Europe
BE,DO,2942,Europe
BE,DZ,2517,Europe
BE,EC,1729,Europe
BE,EE,8651,Europe
BE,EG,1048,Europe
BE,ES,13070,Europe
BE,ET,2851,Europe
BE,FI,7394,Europe
BE,FJ,546,Europe
BE,FM,525,Europe
BE,FR,40013,Europe
BE,GA,9216,Europe
BE,GB,8675,Europe
BE,GD,1437,Europe
BE,GE,4785,Europe
BE,GF,17478,Europe
BE,GH,5757,Europe
BE,GM,15777,Europe
BE,GN,43031,Europe
BE,GP,21626,Europe
BE,GQ,8166,Europe
BE,GR,15933,Europe
BE,GT,465,Europe
BE,GU,1388,Europe
BE,GW,14331,Europe
BE,GY,1096,Europe
BE,HK,1985,Europe
BE,HN,506,Europe
BE,HR,8091,Europe
BE,HT,1634,Europe
BE,HU,7472,Europe
BE,ID,289,Europe
BE,IE,10744,Europe
BE,IM,5069,Europe
BE,IN,312,Europe
BE,IS,17197,Europe
BE,IT,14332,Europe
BE,JE,7072,Europe
BE,JM,2289,Europe
BE,JO,1978,Europe
BE,JP,1260,Europe
BE,KE,1824,Europe
BE,KG,901,Europe
BE,KH,505,Europe
BE,KI,124,Europe
BE,KM,1335,Europe
BE,KR,749,Europe
BE,KW,1539,Europe
BE,KY,3592,Europe
BE,KZ,762,Europe
BE,LA,538,Europe
BE,LB,11278,Europe
BE,LC,1504,Europe
BE,LK,929,Europe
BE,LR,6760,Europe
BE,LS,272,Europe
BE,LT,6638,Europe
BE,LU,231267,Europe
BE,LV,8175,Europe
BE,LY,1295,Europe
BE,MA,12984,Europe
BE,MD,21183,Europe
BE,ME,11965,Europe
BE,MG,3960,Europe
BE,MK,24466,Europe
BE,ML,3938,Europe
BE,MM,103,Europe
BE,MN,2036,Europe
BE,MO,1809,Europe
BE,MQ,18442,Europe
BE,MR,7959,Europe
BE,MT,27299,Europe
BE,MU,11054,Europe
BE,MV,1626,Europe
BE,MW,550,Europe
BE,MX,600,Europe
BE,MY,511,Europe
BE,MZ,1065,Europe
BE,,2426,Europe
BE,NC,8629,Europe
BE,NE,12104,Europe
BE,NG,1185,Europe
BE,NI,794,Europe
BE,NL,88222,Europe
BE,NO,8312,Europe
BE,NP,2016,Europe
BE,NZ,3845,Europe
BE,OM,1360,Europe
BE,PA,1352,Europe
BE,PE,907,Europe
BE,PF,8040,Europe
BE,PG,219,Europe
BE,PH,947,Europe
BE,PK,1274,Europe
BE,PL,11792,Europe
BE,PR,927,Europe
BE,PT,28992,Europe
BE,PY,1525,Europe
BE,QA,2882,Europe
BE,RE,18403,Europe
BE,RO,44339,Europe
BE,RS,9767,Europe
BE,RW,15801,Europe
BE,SA,1511,Europe
BE,SB,444,Europe
BE,SC,10064,Europe
BE,SE,9562,Europe
BE,SG,2527,Europe
BE,SI,11999,Europe
BE,SK,6190,Europe
BE,SL,12750,Europe
BE,SN,12784,Europe
BE,SR,84962,Europe
BE,ST,10227,Europe
BE,SV,2053,Europe
BE,SZ,936,Europe
BE,TD,4599,Europe
BE,TG,14090,Europe
BE,TH,998,Europe
BE,TJ,874,Europe
BE,TL,422,Europe
BE,TN,9873,Europe
BE,TO,601,Europe
BE,TR,6381,Europe
BE,TT,1294,Europe
BE,TW,738,Europe
BE,TZ,1277,Europe
BE,UA,3665,Europe
BE,UG,3327,Europe
BE,US,2243,Europe
BE,UY,1513,Europe
BE,UZ,582,Europe
BE,VC,1911,Europe
BE,VN,306,Europe
BE,VU,661,Europe
BE,WS,560,Europe
BE,XK,33874,Europe
BE,YT,4941,Europe
BE,ZA,1166,Europe
BE,ZM,1081,Europe
BE,ZW,1171,Europe
BG,AE,2492,Europe
BG,AG,1707,Europe
BG,AL,7200,Europe
BG,AM,4159,Europe
BG,AO,664,Europe
BG,AR,616,Europe
BG,AT,40713,Europe
BG,AU,1578,Europe
BG,AW,2368,Europe
BG,AZ,2950,Europe
BG,BA,7109,Europe
BG,BB,715,Europe
BG,BD,229,Europe
BG,BE,29813,Europe
BG,BF,324,Europe
BG,BG,10665371,Europe
BG,BH,1708,Europe
BG,BI,337,Europe
BG,BJ,3028,Europe
BG,BN,454,Europe
BG,BO,328,Europe
BG,BR,397,Europe
BG,BS,900,Europe
BG,BT,340,Europe
BG,BW,446,Europe
BG,BY,8862,Europe
BG,BZ,503,Europe
BG,CA,2654,Europe
BG,CD,302,Europe
BG,CF,334,Europe
BG,CG,734,Europe
BG,CH,18035,Europe
BG,CI,696,Europe
BG,CL,449,Europe
BG,CM,552,Europe
BG,CO,420,Europe
BG,CR,678,Europe
BG,CV,791,Europe
BG,CW,1590,Europe
BG,CY,127452,Europe
BG,CZ,20132,Europe
BG,DE,55216,Europe
BG,DJ,330,Europe
BG,DK,17412,Europe
BG,DO,754,Europe
BG,DZ,608,Europe
BG,EC,390,Europe
BG,EE,6030,Europe
BG,EG,554,Europe
BG,ES,18496,Europe
BG,ET,283,Europe
BG,FI,6805,Europe
BG,FJ,239,Europe
BG,FM,255,Europe
BG,FR,6536,Europe
BG,GA,407,Europe
BG,GB,36384,Europe
BG,GD,639,Europe
BG,GE,3498,Europe
BG,GF,928,Europe
BG,GH,955,Europe
BG,GM,2009,Europe
BG,GN,357,Europe
BG,GP,932,Europe
BG,GQ,587,Europe
BG,GR,51935,Europe
BG,GT,260,Europe
BG,GU,553,Europe
BG,GW,417,Europe
BG,GY,455,Europe
BG,HK,630,Europe
BG,HN,354,Europe
BG,HR,7604,Europe
BG,HT,438,Europe
BG,HU,5142,Europe
BG,ID,262,Europe
BG,IE,14301,Europe
BG,IM,72528,Europe
BG,IN,159,Europe
BG,IS,13553,Europe
BG,IT,10441,Europe
BG,JE,22568,Europe
BG,JM,946,Europe
BG,JO,990,Europe
BG,JP,558,Europe
BG,KE,501,Europe
BG,KG,1980,Europe
BG,KH,147,Europe
BG,KI,172,Europe
BG,KM,257,Europe
BG,KR,511,Europe
BG,KW,1164,Europe
BG,KY,4692,Europe
BG,KZ,2453,Europe
BG,LA,156,Europe
BG,LB,3140,Europe
BG,LC,839,Europe
BG,LK,390,Europe
BG,LR,692,Europe
BG,LS,189,Europe
BG,LT,5260,Europe
BG,LU,21580,Europe
BG,LV,7623,Europe
BG,LY,551,Europe
BG,MA,845,Europe
BG,MD,10187,Europe
BG,ME,15576,Europe
BG,MG,564,Europe
BG,MK,98977,Europe
BG,ML,405,Europe
BG,MM,82,Europe
BG,MN,854,Europe
BG,MO,705,Europe
BG,MQ,719,Europe
BG,MR,269,Europe
BG,MT,54813,Europe
BG,MU,867,Europe
BG,MV,1474,Europe
BG,MW,225,Europe
BG,MX,380,Europe
BG,MY,368,Europe
BG,MZ,398,Europe
BG,,691,Europe
BG,NC,576,Europe
BG,NE,361,Europe
BG,NG,674,Europe
BG,NI,447,Europe
BG,NL,34772,Europe
BG,NO,12099,Europe
BG,NP,161,Europe
BG,NZ,1556,Europe
BG,OM,633,Europe
BG,PA,538,Europe
BG,PE,359,Europe
BG,PF,648,Europe
BG,PG,167,Europe
BG,PH,431,Europe
BG,PK,503,Europe
BG,PL,3814,Europe
BG,PR,575,Europe
BG,PT,6222,Europe
BG,PY,544,Europe
BG,QA,1373,Europe
BG,RE,604,Europe
BG,RO,8612,Europe
BG,RS,26796,Europe
BG,RW,386,Europe
BG,SA,491,Europe
BG,SB,162,Europe
BG,SC,2956,Europe
BG,SE,7824,Europe
