,scaled_sci,user,friend
400,767,ALB,COG
401,36294,ALB,CHE
402,1289,ALB,CIV
403,365,ALB,CHL
404,809,ALB,CMR
405,467,ALB,COL
406,607,ALB,CRI
407,733,ALB,CPV
408,613,ALB,CUW
409,14261,ALB,CYP
410,2997,ALB,CZE
411,36557,ALB,DEU
412,518,ALB,DJI
413,3446,ALB,DNK
414,1091,ALB,DOM
415,822,ALB,DZA
416,440,ALB,ECU
417,2051,ALB,EST
418,779,ALB,EGY
419,3427,ALB,ESP
420,404,ALB,ETH
421,5104,ALB,FIN
422,663,ALB,FJI
423,113,ALB,FSM
424,9331,ALB,FRA
425,573,ALB,GAB
426,24637,ALB,GBR
427,709,ALB,GRD
428,2358,ALB,GEO
429,432,ALB,GUF
430,1471,ALB,GHA
431,2748,ALB,GMB
432,722,ALB,GIN
433,506,ALB,GLP
434,1607,ALB,GNQ
435,435108,ALB,GRC
436,309,ALB,GTM
437,310,ALB,GUM
438,524,ALB,GNB
439,638,ALB,GUY
440,433,ALB,HKG
441,468,ALB,HND
442,22880,ALB,HRV
443,472,ALB,HTI
444,4449,ALB,HUN
445,282,ALB,IDN
446,7175,ALB,IRL
447,1184,ALB,IMN
448,182,ALB,IND
449,14835,ALB,ISL
450,92964,ALB,ITA
451,1196,ALB,JEY
452,998,ALB,JAM
453,770,ALB,JOR
454,239,ALB,JPN
455,1184,ALB,KEN
456,589,ALB,KGZ
457,187,ALB,KHM
458,172,ALB,KIR
459,231,ALB,COM
460,312,ALB,KOR
461,1194,ALB,KWT
462,2084,ALB,CYM
463,1713,ALB,KAZ
464,243,ALB,LAO
465,1100,ALB,LBN
466,1196,ALB,LCA
467,407,ALB,LKA
468,1236,ALB,LBR
469,282,ALB,LSO
470,1763,ALB,LTU
471,33111,ALB,LUX
472,2110,ALB,LVA
473,688,ALB,LBY
474,1248,ALB,MAR
475,7923,ALB,MDA
476,211907,ALB,MNE
477,861,ALB,MDG
478,301734,ALB,MKD
479,982,ALB,MLI
480,110,ALB,MMR
481,782,ALB,MNG
482,499,ALB,MAC
483,357,ALB,MTQ
484,507,ALB,MRT
485,94354,ALB,MLT
486,837,ALB,MUS
487,898,ALB,MDV
488,299,ALB,MWI
489,349,ALB,MEX
490,377,ALB,MYS
491,490,ALB,MOZ
492,774,ALB,NULL
493,277,ALB,NCL
494,511,ALB,NER
495,967,ALB,NGA
496,442,ALB,NIC
497,4516,ALB,NLD
498,8590,ALB,NOR
499,206,ALB,NPL
500,946,ALB,NZL
501,1010,ALB,OMN
502,524,ALB,PAN
503,357,ALB,PER
504,255,ALB,PYF
505,264,ALB,PNG
506,676,ALB,PHL
507,734,ALB,PAK
508,1602,ALB,POL
509,415,ALB,PRI
510,1746,ALB,PRT
511,841,ALB,PRY
512,2867,ALB,QAT
513,288,ALB,REU
514,6503,ALB,ROU
515,26551,ALB,SRB
516,592,ALB,RWA
517,944,ALB,SAU
518,223,ALB,SLB
519,1023,ALB,SYC
520,15332,ALB,SWE
521,622,ALB,SGP
522,16437,ALB,SVN
523,4095,ALB,SVK
524,1373,ALB,SLE
525,775,ALB,SEN
526,524,ALB,SUR
527,545,ALB,STP
528,425,ALB,SLV
529,460,ALB,SWZ
530,648,ALB,TCD
531,1454,ALB,TGO
532,224,ALB,THA
533,672,ALB,TJK
534,385,ALB,TLS
535,1647,ALB,TUN
536,379,ALB,TON
537,3216,ALB,TUR
538,726,ALB,TTO
539,146,ALB,TWN
540,624,ALB,TZA
541,1489,ALB,UKR
542,1491,ALB,UGA
543,4589,ALB,USA
544,593,ALB,URY
545,555,ALB,UZB
546,549,ALB,VCT
547,158,ALB,VNM
548,167,ALB,VUT
549,216,ALB,WSM
550,1010020,ALB,XKX
551,215,ALB,MYT
552,331,ALB,ZAF
553,724,ALB,ZMB
554,369,ALB,ZWE
555,3580,ARM,ARE
556,360,ARM,ATG
557,896,ARM,ALB
558,15755579,ARM,ARM
559,298,ARM,AGO
560,631,ARM,ARG
561,6442,ARM,AUT
562,1277,ARM,AUS
563,269,ARM,ABW
564,158036,ARM,AZE
565,701,ARM,BIH
566,278,ARM,BRB
567,188,ARM,BGD
568,9893,ARM,BEL
569,372,ARM,BFA
570,4159,ARM,BGR
571,857,ARM,BHR
572,192,ARM,BDI
573,884,ARM,BEN
574,192,ARM,BRN
575,129,ARM,BOL
576,175,ARM,BRA
577,410,ARM,BHS
578,602,ARM,BTN
579,176,ARM,BWA
580,18019,ARM,BLR
581,417,ARM,BLZ
582,3660,ARM,CAN
583,256,ARM,COD
584,402,ARM,CAF
585,719,ARM,COG
586,4228,ARM,CHE
587,561,ARM,CIV
588,177,ARM,CHL
589,341,ARM,CMR
590,172,ARM,COL
591,245,ARM,CRI
592,202,ARM,CPV
593,359,ARM,CUW
594,12136,ARM,CYP
595,3903,ARM,CZE
596,7085,ARM,DEU
597,194,ARM,DJI
598,1907,ARM,DNK
599,280,ARM,DOM
600,492,ARM,DZA
601,174,ARM,ECU
602,8063,ARM,EST
603,491,ARM,EGY
604,3258,ARM,ESP
605,187,ARM,ETH
606,1317,ARM,FIN
607,148,ARM,FJI
608,319,ARM,FSM
609,7055,ARM,FRA
610,221,ARM,GAB
611,1011,ARM,GBR
612,354,ARM,GRD
613,73449,ARM,GEO
614,246,ARM,GUF
615,932,ARM,GHA
616,1689,ARM,GMB
617,378,ARM,GIN
618,503,ARM,GLP
619,768,ARM,GNQ
620,9406,ARM,GRC
621,83,ARM,GTM
622,259,ARM,GUM
623,203,ARM,GNB
624,177,ARM,GUY
625,310,ARM,HKG
626,98,ARM,HND
627,1282,ARM,HRV
628,303,ARM,HTI
629,844,ARM,HUN
630,82,ARM,IDN
631,989,ARM,IRL
632,231,ARM,IMN
633,288,ARM,IND
634,1256,ARM,ISL
635,1560,ARM,ITA
636,1052,ARM,JEY
637,240,ARM,JAM
638,2038,ARM,JOR
639,267,ARM,JPN
640,282,ARM,KEN
641,4071,ARM,KGZ
642,101,ARM,KHM
643,116,ARM,KIR
644,139,ARM,COM
645,312,ARM,KOR
646,3468,ARM,KWT
647,1286,ARM,CYM
648,8515,ARM,KAZ
649,96,ARM,LAO
650,30863,ARM,LBN
651,223,ARM,LCA
652,484,ARM,LKA
653,735,ARM,LBR
654,74,ARM,LSO
655,4315,ARM,LTU
656,6813,ARM,LUX
657,7941,ARM,LVA
658,209,ARM,LBY
659,506,ARM,MAR
660,5765,ARM,MDA
661,3237,ARM,MNE
662,248,ARM,MDG
663,1884,ARM,MKD
664,237,ARM,MLI
665,56,ARM,MMR
666,510,ARM,MNG
667,223,ARM,MAC
668,149,ARM,MTQ
669,173,ARM,MRT
670,4509,ARM,MLT
671,329,ARM,MUS
672,1103,ARM,MDV
673,150,ARM,MWI
674,149,ARM,MEX
675,145,ARM,MYS
676,192,ARM,MOZ
677,494,ARM,NULL
678,188,ARM,NCL
679,221,ARM,NER
680,447,ARM,NGA
681,125,ARM,NIC
682,5433,ARM,NLD
683,1302,ARM,NOR
684,122,ARM,NPL
685,381,ARM,NZL
686,798,ARM,OMN
687,203,ARM,PAN
688,160,ARM,PER
689,898,ARM,PYF
690,221,ARM,PNG
691,210,ARM,PHL
692,338,ARM,PAK
693,2460,ARM,POL
694,269,ARM,PRI
695,959,ARM,PRT
696,156,ARM,PRY
697,1704,ARM,QAT
698,144,ARM,REU
699,1134,ARM,ROU
700,1712,ARM,SRB
701,413,ARM,RWA
702,377,ARM,SAU
703,243,ARM,SLB
704,612,ARM,SYC
705,5449,ARM,SWE
706,420,ARM,SGP
707,1103,ARM,SVN
708,1209,ARM,SVK
709,784,ARM,SLE
710,360,ARM,SEN
711,210,ARM,SUR
712,132,ARM,STP
713,102,ARM,SLV
714,165,ARM,SWZ
715,144,ARM,TCD
716,495,ARM,TGO
717,119,ARM,THA
718,8378,ARM,TJK
719,127,ARM,TLS
720,628,ARM,TUN
721,208,ARM,TON
722,1370,ARM,TUR
723,223,ARM,TTO
724,124,ARM,TWN
725,282,ARM,TZA
726,14340,ARM,UKR
727,467,ARM,UGA
728,3644,ARM,USA
729,975,ARM,URY
730,6464,ARM,UZB
731,375,ARM,VCT
732,85,ARM,VNM
733,167,ARM,VUT
734,85,ARM,WSM
735,776,ARM,XKX
736,97,ARM,MYT
737,113,ARM,ZAF
738,252,ARM,ZMB
739,182,ARM,ZWE
740,2326,AGO,ARE
741,4539,AGO,ATG
742,689,AGO,ALB
743,298,AGO,ARM
744,16815996,AGO,AGO
745,1235,AGO,ARG
746,639,AGO,AUT
747,291,AGO,AUS
748,1214,AGO,ABW
749,910,AGO,AZE
750,393,AGO,BIH
751,2033,AGO,BRB
752,1479,AGO,BGD
753,5111,AGO,BEL
754,19899,AGO,BFA
755,664,AGO,BGR
756,1510,AGO,BHR
757,18830,AGO,BDI
758,27847,AGO,BEN
759,555,AGO,BRN
760,1488,AGO,BOL
761,12386,AGO,BRA
762,2724,AGO,BHS
763,380,AGO,BTN
764,25727,AGO,BWA
765,1052,AGO,BLR
766,1967,AGO,BLZ
767,1403,AGO,CAN
768,221090,AGO,COD
769,19593,AGO,CAF
770,141128,AGO,COG
771,4437,AGO,CHE
772,32817,AGO,CIV
773,867,AGO,CHL
774,19607,AGO,CMR
775,1878,AGO,COL
776,1302,AGO,CRI
777,317664,AGO,CPV
778,1826,AGO,CUW
779,3385,AGO,CYP
780,339,AGO,CZE
781,1434,AGO,DEU
782,4317,AGO,DJI
783,449,AGO,DNK
784,6804,AGO,DOM
