,user_loc,fr_loc,scaled_sci,region
694,BEL,PRI,927,Europe
695,BEL,PRT,28992,Europe
696,BEL,PRY,1525,Europe
697,BEL,QAT,2882,Europe
698,BEL,REU,18403,Europe
699,BEL,ROU,44339,Europe
700,BEL,SRB,9767,Europe
701,BEL,RWA,15801,Europe
702,BEL,SAU,1511,Europe
703,BEL,SLB,444,Europe
704,BEL,SYC,10064,Europe
705,BEL,SWE,9562,Europe
706,BEL,SGP,2527,Europe
707,BEL,SVN,11999,Europe
708,BEL,SVK,6190,Europe
709,BEL,SLE,12750,Europe
710,BEL,SEN,12784,Europe
711,BEL,SUR,84962,Europe
712,BEL,STP,10227,Europe
713,BEL,SLV,2053,Europe
714,BEL,SWZ,936,Europe
715,BEL,TCD,4599,Europe
716,BEL,TGO,14090,Europe
717,BEL,THA,998,Europe
718,BEL,TJK,874,Europe
719,BEL,TLS,422,Europe
720,BEL,TUN,9873,Europe
721,BEL,TON,601,Europe
722,BEL,TUR,6381,Europe
723,BEL,TTO,1294,Europe
724,BEL,TWN,738,Europe
725,BEL,TZA,1277,Europe
726,BEL,UKR,3665,Europe
727,BEL,UGA,3327,Europe
728,BEL,USA,2243,Europe
729,BEL,URY,1513,Europe
730,BEL,UZB,582,Europe
731,BEL,VCT,1911,Europe
732,BEL,VNM,306,Europe
733,BEL,VUT,661,Europe
734,BEL,WSM,560,Europe
735,BEL,XKX,33874,Europe
736,BEL,MYT,4941,Europe
737,BEL,ZAF,1166,Europe
738,BEL,ZMB,1081,Europe
739,BEL,ZWE,1171,Europe
740,BGR,ARE,2492,Europe
741,BGR,ATG,1707,Europe
742,BGR,ALB,7200,Europe
743,BGR,ARM,4159,Europe
744,BGR,AGO,664,Europe
745,BGR,ARG,616,Europe
746,BGR,AUT,40713,Europe
747,BGR,AUS,1578,Europe
748,BGR,ABW,2368,Europe
749,BGR,AZE,2950,Europe
750,BGR,BIH,7109,Europe
751,BGR,BRB,715,Europe
752,BGR,BGD,229,Europe
753,BGR,BEL,29813,Europe
754,BGR,BFA,324,Europe
755,BGR,BGR,10665371,Europe
756,BGR,BHR,1708,Europe
757,BGR,BDI,337,Europe
758,BGR,BEN,3028,Europe
759,BGR,BRN,454,Europe
760,BGR,BOL,328,Europe
761,BGR,BRA,397,Europe
762,BGR,BHS,900,Europe
763,BGR,BTN,340,Europe
764,BGR,BWA,446,Europe
765,BGR,BLR,8862,Europe
766,BGR,BLZ,503,Europe
767,BGR,CAN,2654,Europe
768,BGR,COD,302,Europe
769,BGR,CAF,334,Europe
770,BGR,COG,734,Europe
771,BGR,CHE,18035,Europe
772,BGR,CIV,696,Europe
773,BGR,CHL,449,Europe
774,BGR,CMR,552,Europe
775,BGR,COL,420,Europe
776,BGR,CRI,678,Europe
777,BGR,CPV,791,Europe
778,BGR,CUW,1590,Europe
779,BGR,CYP,127452,Europe
780,BGR,CZE,20132,Europe
781,BGR,DEU,55216,Europe
782,BGR,DJI,330,Europe
783,BGR,DNK,17412,Europe
784,BGR,DOM,754,Europe
785,BGR,DZA,608,Europe
