iso_o,dist
KM_AZ,5831.371
KM_BI,1793.933
KM_BE,7909.632
KM_BJ,4939.126
KM_BF,5636.859
KM_BD,6461.117
KM_BG,6380.906
KM_BH,4289.318
KM_BS,13633.68
KM_BA,6673.24
KM_BY,7443.45
KM_BZ,14843.09
KM_BO,11864.56
KM_BR,9491.185
KM_BB,11684.38
KM_BN,8147.469
KM_BT,6644.855
KM_BW,2337.365
KM_CF,3261.487
KM_CA,13518.01
KM_CH,7432.832
KM_CL,11429.37
KM_CI,5565.165
KM_CM,3915.713
KM_CG,3196.124
KM_CO,13206.76
KM_CV,7931.313
KM_CR,14281.37
KM_CY,5314.499
KM_CZ,7426.17
KM_DE,7847.916
KM_DJ,2589.593
KM_DK,8020.091
KM_DO,12835.88
KM_DZ,6846.9
KM_EC,13465.11
KM_EG,4818.36
KM_ES,7547.986
KM_EE,8084.621
KM_ET,2357.362
KM_FI,8155.578
KM_FJ,14095.76
KM_FR,7842.67
KM_FM,12886.6
KM_GA,3974.621
KM_GB,8177.545
KM_GE,5943.646
KM_GH,5184.625
KM_GN,6938.107
KM_GP,11955.88
KM_GM,7180.19
KM_GW,7017.294
KM_GQ,4182.98
KM_GR,5890.844
KM_GD,11894.17
KM_GT,15022.12
KM_GF,10736.52
KM_GY,11409.26
KM_HK,8601.202
KM_HN,14665.7
KM_HR,6956.245
KM_HT,13104.7
KM_HU,7009.495
KM_ID,6995.042
KM_IN,5782.406
KM_IE,8618.9
KM_IS,10036.69
KM_IT,6740.349
KM_JM,13572.4
KM_JO,4917.013
KM_JP,11351.43
KM_KE,1356.564
KM_KG,6859.643
KM_KH,7288.149
KM_KI,14385.19
CV_AW,5036.386
CV_AO,4839.974
CV_AL,5090.82
CV_AE,8135.805
CV_AR,6643.946
CV_AM,7092.814
CV_AG,4101.707
CV_AU,17855.77
CV_AT,5194.904
CV_AZ,7550.076
CV_BI,6165.723
CV_BE,4712.202
CV_BJ,2995.859
CV_BF,2378.053
CV_BD,11658.14
CV_BG,5413.075
CV_BH,7731.985
CV_BS,5706.75
CV_BA,5102.136
CV_BY,6175.745
CV_BZ,6955.229
CV_BO,6025.543
